ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.727707,2.973599,3.936068,8.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 0,39,2020-03-21 17:18:22:111
7.891289,0.440533,-3.342306,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 4,538,2020-03-21 17:18:22:610
6.301539,-1.154005,0.067038,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 4,1039,2020-03-21 17:18:23:111
4.534618,-5.755661,-1.369483,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 6,1538,2020-03-21 17:18:23:610
4.563349,-3.730166,-0.02873,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 6,2039,2020-03-21 17:18:24:111
-0.972046,-6.660669,-2.954445,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 11,2538,2020-03-21 17:18:24:610
-2.868254,-5.497087,0.23942,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 11,3038,2020-03-21 17:18:25:110
2.767697,-4.932055,0.110133,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 15,3539,2020-03-21 17:18:25:611
2.470816,-7.718906,2.949657,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 15,4038,2020-03-21 17:18:26:110
4.941633,-6.833051,-1.699883,0.0,49.848034,24.035566,392.0,NaN,1.8,9.5,0.0,0 / 15,4538,2020-03-21 17:18:26:610
1.168371,-9.816227,1.910573,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,5039,2020-03-21 17:18:27:111
8.073248,-5.856217,-1.359906,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,5539,2020-03-21 17:18:27:611
3.366248,-16.82645,1.168371,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,6039,2020-03-21 17:18:28:111
7.015011,-16.845604,-7.517793,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,6538,2020-03-21 17:18:28:610
4.697424,-9.074024,-0.866701,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,7039,2020-03-21 17:18:29:111
-1.546654,-1.508347,0.3304,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,7538,2020-03-21 17:18:29:610
3.830723,-12.014104,-1.158794,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,8038,2020-03-21 17:18:30:110
2.418144,-9.002198,0.823605,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,8538,2020-03-21 17:18:30:610
3.529053,-7.43639,1.905785,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,9038,2020-03-21 17:18:31:110
0.986411,-17.3005,-0.383072,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,9539,2020-03-21 17:18:31:611
-4.582502,-7.862558,9.792285,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,10038,2020-03-21 17:18:32:110
1.910573,-5.985504,-1.599327,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,10539,2020-03-21 17:18:32:611
4.458004,-6.914454,-5.401319,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,11039,2020-03-21 17:18:33:111
2.475605,-8.705317,-0.373495,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,11539,2020-03-21 17:18:33:611
-1.120486,-5.803545,2.044648,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,12039,2020-03-21 17:18:34:111
-2.39899,-8.451532,4.055778,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,12538,2020-03-21 17:18:34:610
5.64074,-8.566454,1.029507,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,13039,2020-03-21 17:18:35:111
-0.828394,-0.483629,10.582372,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,13538,2020-03-21 17:18:35:610
4.491523,-7.393295,-1.58975,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,14038,2020-03-21 17:18:36:110
4.97994,-10.127473,-14.422671,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,14538,2020-03-21 17:18:36:610
1.106121,-7.115567,2.240973,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,15039,2020-03-21 17:18:37:111
1.355118,-8.66701,1.479617,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,15539,2020-03-21 17:18:37:611
2.149993,-7.474697,5.93762,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,16039,2020-03-21 17:18:38:111
8.288726,-10.783484,-3.165135,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,16539,2020-03-21 17:18:38:611
-0.991199,-19.416977,4.074931,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,17039,2020-03-21 17:18:39:111
7.062895,-8.063671,-0.972046,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,17539,2020-03-21 17:18:39:611
0.766145,-4.788403,-0.981623,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,18039,2020-03-21 17:18:40:111
0.02873,-6.545747,-0.646434,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,18538,2020-03-21 17:18:40:610
6.952762,-11.247959,0.344765,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,19038,2020-03-21 17:18:41:110
6.895301,-13.982138,-2.504335,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,19539,2020-03-21 17:18:41:611
-1.417367,-19.349937,0.177171,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,20039,2020-03-21 17:18:42:111
0.320823,-3.715801,-9.653421,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,20538,2020-03-21 17:18:42:610
-4.649539,-15.05474,1.192313,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,21039,2020-03-21 17:18:43:111
4.242526,-16.539145,-10.836157,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,21538,2020-03-21 17:18:43:610
6.789956,-6.947973,-3.007117,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,22038,2020-03-21 17:18:44:110
0.933739,-4.606444,-0.512359,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,22538,2020-03-21 17:18:44:610
3.289633,-7.469909,-0.043096,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,23039,2020-03-21 17:18:45:111
-1.651999,-17.535133,-2.250549,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,23538,2020-03-21 17:18:45:610
-6.320692,-6.196194,1.896208,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,24038,2020-03-21 17:18:46:110
-1.331176,-17.956512,-0.632069,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,24539,2020-03-21 17:18:46:611
12.133814,-18.703505,-7.508216,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,25038,2020-03-21 17:18:47:110
6.588843,-10.568007,-2.60968,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,25538,2020-03-21 17:18:47:610
7.996634,-5.918466,-6.646304,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,26039,2020-03-21 17:18:48:111
0.258574,-8.657434,-2.351106,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,26538,2020-03-21 17:18:48:610
-1.94888,-5.003881,2.006341,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,27038,2020-03-21 17:18:49:110
1.364695,-8.054094,-3.222595,0.0,49.848217,24.035746,385.0,NaN,4.536,10.5,30.3,15 / 15,27539,2020-03-21 17:18:49:611
