ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.057461,5.372589,8.039729,8.0,,,,NaN,,,,0 / 3,26,2020-03-10 16:43:45:861
12.818556,-4.936844,2.624045,8.0,,,,NaN,,,,0 / 7,526,2020-03-10 16:43:46:361
7.010223,-1.240196,7.556101,8.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,1026,2020-03-10 16:43:46:861
7.000646,-13.733141,-2.614468,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,1525,2020-03-10 16:43:47:360
3.15077,-8.403648,-0.627281,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,2026,2020-03-10 16:43:47:861
7.402872,-11.75553,-7.623138,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,2526,2020-03-10 16:43:48:361
0.80924,-5.683835,-2.552219,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,3026,2020-03-10 16:43:48:861
4.400543,-10.831368,-1.345541,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,3526,2020-03-10 16:43:49:361
2.762909,-8.662222,-3.251326,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,4026,2020-03-10 16:43:49:861
6.766014,-17.803284,-12.464214,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,4526,2020-03-10 16:43:50:361
1.053449,-9.11712,-2.437297,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,5026,2020-03-10 16:43:50:861
0.316035,-5.353435,1.953669,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,5526,2020-03-10 16:43:51:361
-1.747767,-6.378153,-0.555455,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,6026,2020-03-10 16:43:51:861
1.541866,-11.224017,0.914585,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,6526,2020-03-10 16:43:52:361
3.045425,-12.976573,-2.27928,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,7026,2020-03-10 16:43:52:861
5.353435,-11.195287,-4.927267,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,7526,2020-03-10 16:43:53:361
0.852336,-8.801085,-1.005565,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,8026,2020-03-10 16:43:53:861
-0.234632,-5.013458,-0.737414,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,8526,2020-03-10 16:43:54:361
2.25055,-7.450755,-2.30801,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,9025,2020-03-10 16:43:54:860
-2.217031,-4.67827,-0.383072,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,9526,2020-03-10 16:43:55:361
-1.924938,-9.682152,-0.47884,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,10026,2020-03-10 16:43:55:861
0.143652,-8.738836,-4.477157,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,10527,2020-03-10 16:43:56:362
1.944092,-7.64708,-4.333505,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,11026,2020-03-10 16:43:56:861
10.065224,-22.510284,-20.101715,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,11526,2020-03-10 16:43:57:361
-0.397437,-7.417237,-4.352658,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,12026,2020-03-10 16:43:57:861
2.106898,-6.368576,-1.939303,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,12527,2020-03-10 16:43:58:362
2.360683,-8.331821,-7.015011,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,13026,2020-03-10 16:43:58:861
6.593632,-8.968679,-1.561019,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,13526,2020-03-10 16:43:59:361
-2.111686,-3.308787,0.014365,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,14026,2020-03-10 16:43:59:861
0.09098,-11.774684,-1.063026,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,14526,2020-03-10 16:44:00:361
-3.313575,-2.743755,1.814805,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,15026,2020-03-10 16:44:00:861
1.302446,-8.729259,-1.431733,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,15526,2020-03-10 16:44:01:361
0.110133,-16.002844,1.651999,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,16026,2020-03-10 16:44:01:861
-0.430956,-14.331692,-4.419696,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,16526,2020-03-10 16:44:02:361
-0.71826,-7.249643,-2.691083,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,17026,2020-03-10 16:44:02:861
1.795651,-11.099519,-3.351882,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,17526,2020-03-10 16:44:03:361
-3.74932,-8.748413,8.623915,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,18025,2020-03-10 16:44:03:860
-0.004788,-5.904101,-3.294421,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,18526,2020-03-10 16:44:04:361
3.241749,-8.327033,-5.324704,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,19026,2020-03-10 16:44:04:861
-0.952892,-9.414001,1.254562,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,19526,2020-03-10 16:44:05:361
-5.319916,-10.160992,0.387861,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,20026,2020-03-10 16:44:05:861
-1.929727,-0.857124,2.092532,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,20526,2020-03-10 16:44:06:361
-0.306458,-8.054094,-6.368576,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,21026,2020-03-10 16:44:06:861
-1.719037,-20.867863,-14.551958,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,21526,2020-03-10 16:44:07:361
-0.59855,-2.384625,-1.393425,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,22026,2020-03-10 16:44:07:861
-1.508347,-10.534488,0.205901,0.0,49.844627,24.024727,364.0,NaN,2.016,32.5,0.0,7 / 7,22526,2020-03-10 16:44:08:361
