ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.573702,1.580173,5.00867,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,91,2020-03-19 18:45:25:394
16.342821,-7.757213,4.141969,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,591,2020-03-19 18:45:25:894
15.816096,-5.382165,1.13964,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,1091,2020-03-19 18:45:26:394
9.701305,-2.87783,0.483629,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,1592,2020-03-19 18:45:26:895
12.631808,-2.834735,0.574608,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,2092,2020-03-19 18:45:27:395
8.911219,-6.473921,-0.248997,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,2592,2020-03-19 18:45:27:895
14.753071,-3.816357,1.450886,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,3092,2020-03-19 18:45:28:395
6.172252,-4.927267,-0.134075,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,3591,2020-03-19 18:45:28:894
9.41879,-1.575385,0.943315,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,4091,2020-03-19 18:45:29:394
4.912902,-3.682282,0.627281,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,4592,2020-03-19 18:45:29:895
8.207323,0.54109,-0.3304,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,5092,2020-03-19 18:45:30:395
9.595961,-3.730166,1.757344,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,5591,2020-03-19 18:45:30:894
11.334151,-4.094085,-0.191536,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,6092,2020-03-19 18:45:31:395
9.059659,-1.795651,-1.053449,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,6592,2020-03-19 18:45:31:895
12.823344,-3.615245,-2.60968,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,7091,2020-03-19 18:45:32:394
12.334928,-4.821922,0.555455,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,7592,2020-03-19 18:45:32:895
8.643068,-6.469133,-0.019154,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,8092,2020-03-19 18:45:33:395
15.006856,-3.107674,-0.684742,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,8592,2020-03-19 18:45:33:895
8.791509,-6.41646,1.431733,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,9091,2020-03-19 18:45:34:394
13.632585,-2.94008,0.852336,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,9592,2020-03-19 18:45:34:895
4.687847,-4.299986,-0.258574,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,10091,2020-03-19 18:45:35:394
6.761226,-1.968034,-0.162806,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,10591,2020-03-19 18:45:35:894
5.295975,-2.624045,0.881066,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,11092,2020-03-19 18:45:36:395
10.113108,0.301669,-1.762132,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,11591,2020-03-19 18:45:36:894
9.524135,-4.261679,0.47884,8.0,49.828747,24.045952,354.0,NaN,4.5,11.0,309.3,16 / 16,12091,2020-03-19 18:45:37:394
