ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.016694,1.905785,3.05979,8.0,,,,NaN,,,,0 / 6,26,2020-03-11 10:39:30:485
-2.533065,1.25935,9.950302,8.0,,,,NaN,,,,0 / 6,527,2020-03-11 10:39:30:986
0.890643,2.37026,6.263232,8.0,,,,NaN,,,,0 / 6,1026,2020-03-11 10:39:31:485
0.881066,3.639187,8.643068,8.0,,,,NaN,,,,0 / 7,1527,2020-03-11 10:39:31:986
-1.312023,3.002329,8.590396,8.0,,,,NaN,,,,0 / 7,2027,2020-03-11 10:39:32:486
3.045425,5.204995,11.391612,8.0,,,,NaN,,,,0 / 10,2526,2020-03-11 10:39:32:985
0.483629,4.783615,13.019669,8.0,,,,NaN,,,,0 / 10,3027,2020-03-11 10:39:33:486
7.838617,1.010353,2.767697,8.0,,,,NaN,,,,0 / 10,3526,2020-03-11 10:39:33:985
8.106767,1.766921,2.154782,8.0,,,,NaN,,,,0 / 10,4026,2020-03-11 10:39:34:485
0.095768,-0.502782,0.354342,0.0,,,,NaN,,,,0 / 10,4527,2020-03-11 10:39:34:986
6.019023,-1.369483,0.742203,0.0,,,,NaN,,,,0 / 10,5026,2020-03-11 10:39:35:485
5.425261,-0.004788,0.694319,0.0,,,,NaN,,,,0 / 12,5527,2020-03-11 10:39:35:986
5.961562,-0.756568,1.747767,0.0,,,,NaN,,,,0 / 12,6027,2020-03-11 10:39:36:486
12.957419,-3.739743,2.916138,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,6526,2020-03-11 10:39:36:985
12.023681,-5.099649,5.722142,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,7027,2020-03-11 10:39:37:486
14.705187,0.493206,-0.138864,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,7527,2020-03-11 10:39:37:986
9.605537,0.967258,1.197101,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,8027,2020-03-11 10:39:38:486
7.632715,-1.690306,-0.555455,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,8527,2020-03-11 10:39:38:986
4.577714,0.296881,0.047884,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,9026,2020-03-11 10:39:39:485
5.894525,-0.536301,-0.181959,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,9527,2020-03-11 10:39:39:986
5.070919,0.004788,0.402226,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,10027,2020-03-11 10:39:40:486
8.60955,0.890643,1.316811,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,10527,2020-03-11 10:39:40:986
7.422025,-2.806004,9.840169,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,11027,2020-03-11 10:39:41:486
12.957419,-0.68953,1.417368,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,11527,2020-03-11 10:39:41:986
12.445061,0.387861,-4.984728,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,12027,2020-03-11 10:39:42:486
8.772355,1.201889,-1.182736,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,12527,2020-03-11 10:39:42:986
4.175488,-1.580173,0.306458,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,13027,2020-03-11 10:39:43:486
8.748413,0.943315,0.167594,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,13526,2020-03-11 10:39:43:985
5.209783,-1.752556,0.80924,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,14026,2020-03-11 10:39:44:485
7.000646,-2.882619,1.757344,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,14527,2020-03-11 10:39:44:986
16.486473,-2.873042,-3.289633,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,15027,2020-03-11 10:39:45:486
8.700529,-5.683835,8.422802,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,15527,2020-03-11 10:39:45:986
8.743625,-0.402226,1.900996,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,16027,2020-03-11 10:39:46:486
8.729259,-1.508347,0.320823,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,16527,2020-03-11 10:39:46:986
9.811439,-0.876278,-0.306458,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,17027,2020-03-11 10:39:47:486
9.337387,-0.574608,1.11091,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,17528,2020-03-11 10:39:47:987
10.635044,-1.082179,1.675941,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,18026,2020-03-11 10:39:48:485
7.982269,-2.408567,0.536301,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,18526,2020-03-11 10:39:48:985
10.711658,-2.94008,1.23062,0.0,49.82887,24.046238,335.0,NaN,4.392,31.500002,355.8,10 / 13,19027,2020-03-11 10:39:49:486
