ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.354212,1.752556,2.528277,8.0,49.844814,24.038313,343.0,NaN,1.836,14.0,0.0,0 / 1,27,2020-03-19 20:09:27:077
13.637373,-3.347094,5.013459,8.0,49.844814,24.038313,343.0,NaN,1.836,14.0,0.0,0 / 1,527,2020-03-19 20:09:27:577
8.130709,-4.055777,0.881066,8.0,49.844814,24.038313,343.0,NaN,1.836,14.0,0.0,0 / 4,1027,2020-03-19 20:09:28:077
13.259089,-0.052672,5.568913,8.0,49.844814,24.038313,343.0,NaN,1.836,14.0,0.0,0 / 4,1527,2020-03-19 20:09:28:577
6.287174,-3.217807,1.292869,8.0,49.844814,24.038313,343.0,NaN,1.836,14.0,0.0,11 / 11,2027,2020-03-19 20:09:29:077
6.976704,0.282516,0.071826,8.0,49.844814,24.038313,343.0,NaN,1.836,14.0,0.0,11 / 11,2527,2020-03-19 20:09:29:577
6.938397,-3.68707,3.380613,8.0,49.844814,24.038313,367.0,NaN,6.012,14.0,239.7,12 / 14,3032,2020-03-19 20:09:30:082
13.479356,-5.147533,3.591303,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,3527,2020-03-19 20:09:30:577
14.111424,-6.947973,2.882619,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,4027,2020-03-19 20:09:31:077
11.923124,-5.875371,3.428497,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,4527,2020-03-19 20:09:31:577
12.880805,-5.434838,2.470816,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,5027,2020-03-19 20:09:32:077
2.015918,-3.548207,-0.483629,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,5528,2020-03-19 20:09:32:578
7.929596,-1.594538,2.207454,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,6028,2020-03-19 20:09:33:078
9.069236,-5.746084,0.555455,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,6528,2020-03-19 20:09:33:578
16.788143,-6.665457,5.185841,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,7028,2020-03-19 20:09:34:078
7.101202,-4.821922,0.895431,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,7528,2020-03-19 20:09:34:578
7.651869,-3.428497,3.849877,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,8028,2020-03-19 20:09:35:078
14.824897,-3.768473,3.404555,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,8528,2020-03-19 20:09:35:578
12.162544,-10.122684,3.193865,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,9027,2020-03-19 20:09:36:077
17.013197,0.019154,-0.009577,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,9527,2020-03-19 20:09:36:577
12.914324,-9.279925,2.911349,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,10027,2020-03-19 20:09:37:077
10.012551,-6.464344,1.647211,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,10527,2020-03-19 20:09:37:577
18.363527,-1.867477,5.109226,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,11027,2020-03-19 20:09:38:077
3.064578,-3.41892,-1.331176,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,11528,2020-03-19 20:09:38:578
5.516241,-1.158794,-0.440533,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,12028,2020-03-19 20:09:39:078
8.317456,-5.195418,2.193089,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,12527,2020-03-19 20:09:39:577
11.927913,-6.143522,0.876278,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,13027,2020-03-19 20:09:40:077
9.811439,-6.947973,2.868254,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,13527,2020-03-19 20:09:40:577
9.591172,-8.729259,2.236184,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,14027,2020-03-19 20:09:41:077
16.49605,-2.710236,2.978387,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,14527,2020-03-19 20:09:41:577
4.314352,-3.907337,-1.685518,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,15028,2020-03-19 20:09:42:078
5.889736,-1.015141,-0.684742,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,15529,2020-03-19 20:09:42:579
9.299079,-6.464344,3.126828,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,16027,2020-03-19 20:09:43:077
12.277467,-5.60722,2.470816,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,16527,2020-03-19 20:09:43:577
17.396269,-4.994304,3.39019,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,17027,2020-03-19 20:09:44:077
11.042058,-5.315128,2.355895,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,17527,2020-03-19 20:09:44:577
18.119318,-2.035071,4.678271,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,18027,2020-03-19 20:09:45:077
5.281609,-4.596867,0.588974,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,18527,2020-03-19 20:09:45:577
5.525818,-1.910573,0.067038,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,19027,2020-03-19 20:09:46:077
10.026917,-4.836287,1.642422,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,19527,2020-03-19 20:09:46:577
12.612655,-3.409343,-0.201113,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,20027,2020-03-19 20:09:47:077
14.561535,-5.161899,3.404555,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,20527,2020-03-19 20:09:47:577
6.100426,-5.784391,1.699883,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,21027,2020-03-19 20:09:48:077
13.967772,-3.485957,2.25055,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,21527,2020-03-19 20:09:48:577
6.167464,-4.860229,-0.014365,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,22027,2020-03-19 20:09:49:077
4.745308,-2.413355,1.522712,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,22527,2020-03-19 20:09:49:577
8.288726,-3.169923,0.301669,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,23027,2020-03-19 20:09:50:077
17.956512,-9.428367,2.70066,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,23527,2020-03-19 20:09:50:577
12.74673,-6.440402,-0.440533,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,24027,2020-03-19 20:09:51:077
3.696648,-6.847417,1.699883,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,24527,2020-03-19 20:09:51:577
5.295975,-3.409343,1.824382,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,25027,2020-03-19 20:09:52:077
3.916914,-4.697424,0.114922,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,25527,2020-03-19 20:09:52:577
3.332729,-2.719813,2.331953,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,26027,2020-03-19 20:09:53:077
10.778696,-5.166687,1.307234,8.0,49.84805,24.041529,367.0,NaN,6.012,10.0,239.7,12 / 14,26527,2020-03-19 20:09:53:577
