ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.418144,7.211336,14.633361,8.0,49.825565,24.039001,351.0,NaN,2.232,9.5,0.0,0 / 3,15,2020-03-17 13:51:56:934
11.329363,-5.923255,6.071696,8.0,49.825565,24.039001,351.0,NaN,2.232,9.5,0.0,0 / 3,515,2020-03-17 13:51:57:434
6.564901,-4.855441,0.172383,8.0,49.825565,24.039001,351.0,NaN,2.232,9.5,0.0,0 / 9,1015,2020-03-17 13:51:57:934
11.281479,-2.806004,0.47884,8.0,49.825565,24.039001,351.0,NaN,2.232,9.5,0.0,0 / 9,1515,2020-03-17 13:51:58:434
7.733272,-8.03494,1.623269,8.0,49.825565,24.039001,351.0,NaN,2.232,9.5,0.0,18 / 18,2015,2020-03-17 13:51:58:934
11.506534,-7.359776,2.710236,8.0,49.825565,24.039001,351.0,NaN,2.232,9.5,0.0,18 / 18,2515,2020-03-17 13:51:59:434
13.546393,-6.009446,1.489194,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,3016,2020-03-17 13:51:59:935
6.244078,-8.901642,3.361459,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,3515,2020-03-17 13:52:00:434
11.899182,-5.530606,1.091756,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,4015,2020-03-17 13:52:00:934
6.244078,-7.97748,0.699107,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,4516,2020-03-17 13:52:01:435
15.883134,-4.611232,1.886631,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,5015,2020-03-17 13:52:01:934
6.545748,-4.82671,-0.47884,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,5515,2020-03-17 13:52:02:434
8.06846,-3.428497,-0.47884,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,6015,2020-03-17 13:52:02:934
5.434838,-3.835511,1.168371,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,6515,2020-03-17 13:52:03:434
11.008539,-0.957681,1.68073,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,7015,2020-03-17 13:52:03:934
9.509769,-6.191406,2.552219,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,7515,2020-03-17 13:52:04:434
9.294291,-0.272939,-3.016694,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,8015,2020-03-17 13:52:04:934
6.359,-6.042965,1.781286,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,8515,2020-03-17 13:52:05:434
10.333375,-7.881712,0.756568,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,9015,2020-03-17 13:52:05:934
12.181698,-5.951985,0.943315,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,9515,2020-03-17 13:52:06:434
5.573702,-10.67814,1.235408,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,10015,2020-03-17 13:52:06:934
18.92377,-4.620809,3.303998,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,10515,2020-03-17 13:52:07:434
5.568913,-7.019799,-0.301669,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,11016,2020-03-17 13:52:07:935
7.996634,-4.367024,0.550666,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,11516,2020-03-17 13:52:08:435
5.056554,-8.90643,0.895431,8.0,49.825676,24.039,349.0,NaN,5.544,11.0,23.9,19 / 19,12015,2020-03-17 13:52:08:934
