ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.322376,3.643975,11.827356,8.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 0,31,2020-03-19 19:17:13:800
1.781286,4.668694,6.14831,8.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 4,530,2020-03-19 19:17:14:299
7.963115,-4.113238,1.359907,8.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 3,1030,2020-03-19 19:17:14:799
1.996764,-1.398214,1.163582,8.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 3,1531,2020-03-19 19:17:15:300
5.185841,-12.143391,4.687847,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 5,2031,2020-03-19 19:17:15:800
11.219229,-10.625467,-8.087613,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 5,2530,2020-03-19 19:17:16:299
10.888829,-13.939042,-1.273715,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 6,3031,2020-03-19 19:17:16:800
9.902418,-9.667787,-0.110133,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 6,3531,2020-03-19 19:17:17:300
8.09719,-20.9349,1.393425,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 6,4030,2020-03-19 19:17:17:799
5.655105,-11.573571,-1.106121,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 6,4531,2020-03-19 19:17:18:300
12.363658,-18.253393,-21.44247,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 6,5030,2020-03-19 19:17:18:799
5.171476,-9.169792,0.407014,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 6,5530,2020-03-19 19:17:19:299
-1.92015,-3.648763,0.244209,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 7,6031,2020-03-19 19:17:19:800
0.11971,-7.819463,0.234632,0.0,49.836666,24.039879,349.0,NaN,1.908,10.0,0.0,0 / 7,6531,2020-03-19 19:17:20:300
4.908114,-11.271901,-2.561796,0.0,49.83773,24.039227,310.0,NaN,3.708,19.0,295.1,8 / 8,7031,2020-03-19 19:17:20:800
0.363919,-15.289372,-1.977611,0.0,49.83773,24.039227,310.0,NaN,3.708,19.0,295.1,8 / 8,7531,2020-03-19 19:17:21:300
