ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.560243,-0.11971,10.376471,8.0,,,,NaN,,,,0 / 6,28,2020-03-15 13:02:43:428
-0.167594,3.169923,7.417237,8.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,528,2020-03-15 13:02:43:928
3.15077,2.930503,13.024457,8.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,1028,2020-03-15 13:02:44:428
6.574478,-0.713472,5.631162,8.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,1528,2020-03-15 13:02:44:928
0.536301,-6.900089,-1.264138,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,2027,2020-03-15 13:02:45:427
14.00608,0.751779,2.801216,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,2527,2020-03-15 13:02:45:927
12.598289,-0.632069,4.486734,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,3027,2020-03-15 13:02:46:427
0.967258,-1.40779,0.21069,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,3527,2020-03-15 13:02:46:927
8.274361,-1.412579,3.5099,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,4028,2020-03-15 13:02:47:428
9.457097,-7.642292,5.99987,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,4527,2020-03-15 13:02:47:927
8.437167,-2.647987,5.702989,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,5027,2020-03-15 13:02:48:427
12.842498,2.135628,3.476381,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,5527,2020-03-15 13:02:48:927
9.500193,-0.325611,2.092532,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,6027,2020-03-15 13:02:49:427
12.751518,2.987964,4.304775,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,6527,2020-03-15 13:02:49:927
5.094861,-2.724601,0.737414,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,7027,2020-03-15 13:02:50:427
5.482722,-1.484405,0.268151,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,7527,2020-03-15 13:02:50:927
5.774815,0.770933,3.236961,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,8027,2020-03-15 13:02:51:427
7.575254,-2.647987,9.423578,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,8528,2020-03-15 13:02:51:928
12.914324,0.952892,1.556231,0.0,49.838657,24.03096,319.0,NaN,3.816,17.0,79.0,7 / 7,9027,2020-03-15 13:02:52:427
